labels,dim2,dim6,dim7,dim8,Name3Class
r228,0.303932035,0.40072553,0.045178129,0.105248903,ClassC
r229,0.318368473,0.396548628,0.084705629,0.06811657,ClassC
r230,0.351091744,0.344428154,0.076821655,0.077785602,ClassC
r231,0.348054098,0.449102935,0.092777957,0.121959807,ClassC
r232,0.289414322,0.42056077,0.05537617,0.102025892,ClassC
r233,0.264249608,0.423970898,0.079270262,0.100617518,ClassC
r234,0.351792739,0.414537556,0.050075342,0.114295,ClassC
r235,0.34473199,0.354890587,0.088203638,0.113509561,ClassC
r236,0.341958487,0.385955036,0.08949521,0.065218569,ClassC
r237,0.311074059,0.451292277,0.067619201,0.093304805,ClassC
r238,0.312486209,0.423405907,0.01754386,0.09530903,ClassC
r239,0.399755038,0.437117042,0.065385857,0.079979416,ClassC
r240,0.309783821,0.404821719,0.051124744,0.058907968,ClassC
r241,0.269451196,0.401875691,0.082606824,0.03074048,ClassC
r242,0.286965918,0.465154749,0.100419761,0.076566817,ClassC
r243,0.317911302,0.404862075,0.078732106,0.071312497,ClassC
r244,0.337661082,0.369237338,0.080804004,0.099669574,ClassC
r245,0.371156463,0.407808103,0.092078355,0.037186501,ClassC
r246,0.321111498,0.438176401,0.065762566,0.085477493,ClassC
r247,0.320674646,0.429953755,0.039608223,0.08867342,ClassC
r248,0.325825437,0.413589178,0.102141858,0.092763122,ClassC
r249,0.362165437,0.357170732,0.064228824,0.016819241,ClassC
r250,0.312486209,0.389587124,0.069018405,0.116299225,ClassC
r251,0.347200713,0.406062683,0.082068669,0.095850712,ClassC
r252,0.320827036,0.400271519,0.044101819,0.09498402,ClassC
r253,0.305140998,0.372808892,0.06955656,0.093467309,ClassC
r254,0.373675983,0.403005675,0.080696373,0.101105032,ClassC
r255,0.32060353,0.374312173,0.10006996,0.102811332,ClassC
r256,0.271828484,0.406435981,0.07725218,0.0605601,ClassC
r257,0.306857928,0.403247814,0.114357981,0.02995504,ClassC
r258,0.281073494,0.368581544,0.065305134,0.086073344,ClassC
r259,0.364745913,0.352882849,0.09490367,0.048263908,ClassC
r260,0.370699293,0.393088054,0.082310838,0.093873571,ClassC
r261,0.368149295,0.318186312,0.084490367,0.007583555,ClassC
r262,0.36008277,0.415960125,0.037267248,0.129543362,ClassC
r263,0.341054305,0.416535205,0.115165214,0.062699745,ClassC
r264,0.334613276,0.326156729,0.101119363,0.083067006,ClassC
r265,0.390042698,0.420641483,0.080454203,0.059124641,ClassC
r266,0.329675831,0.440506991,0.060461737,0.077948107,ClassC
r267,0.365121809,0.41566754,0.084194382,0.090488056,ClassC
r268,0.314538398,0.354416398,0.056506296,0.072991712,ClassC
r269,0.260673516,0.40760632,0.042541169,0.069579113,ClassC
r270,0.380066215,0.409977267,0.111317404,0.072747955,ClassC
r271,0.348236966,0.398848951,0.10211495,0.053301555,ClassC
r272,0.350969832,0.399262605,0.020100097,0.064920644,ClassC
r273,0.356161261,0.369489566,0.069583468,0.111694924,ClassC
r274,0.335324431,0.469684771,0.044882144,0.085504577,ClassC
r275,0.303952353,0.336356845,0.049671725,0.076973078,ClassC
r276,0.305933427,0.384532467,0.094419331,0.068251991,ClassC
r277,0.318297358,0.360126849,0.078651383,0.065408158,ClassC
r278,0.331534993,0.316662853,0.040469271,0.045880505,ClassC
r279,0.321467075,0.441556261,0.067000323,0.124153621,ClassC
r280,0.335974629,0.379810752,0.057017544,0.091192243,ClassC
r281,0.395152852,0.412903116,0.077951781,0.109744868,ClassC
r282,0.317413494,0.414164258,0.047841998,0.101673799,ClassC
r283,0.31528003,0.367673522,0.04625444,0.094713179,ClassC
r284,0.305323866,0.356020571,0.029033473,0.061887222,ClassC
r285,0.307233824,0.401815157,0.118367237,0.084773306,ClassC
r286,0.360611057,0.429963845,0.092535787,0.063566437,ClassC
r287,0.298923474,0.408948175,0.098159509,0.080602351,ClassC
r288,0.400242687,0.373081299,0.077036917,0.063485185,ClassC
r289,0.267957771,0.424273572,0.144171779,0.03875738,ClassC
r290,0.371491722,0.311729266,0.045689377,0.046340935,ClassC
r291,0.411875144,0.502696422,0.102814552,0.022588159,ClassC
r292,0.917150489,0.799982889,0.071224841,0.045501327,ClassB
r293,0.916439334,0.79425226,0.073108384,0.078950219,ClassB
r294,0.918308655,0.799559145,0.096114519,0.115378365,ClassB
r295,0.922087934,0.802616153,0.055053277,0.049293104,ClassB
r296,0.926761235,0.796956148,0.087638575,0.102811332,ClassB
r297,0.91744511,0.807166353,0.042083737,0.055549537,ClassB
r298,0.897725809,0.811948604,0.077413626,0.119115974,ClassB
r299,0.905203092,0.804997189,0.069260575,0.109690699,ClassB
r300,0.912568621,0.809527211,0.040765257,0.090813065,ClassB
r301,0.915982163,0.791265876,0.129856851,0.058907968,ClassB
r302,0.890695538,0.795816076,0.053250457,0.120497265,ClassB
r303,0.916297103,0.804482643,0.084893983,0.099967499,ClassB
r304,0.90992719,0.782609398,0.05995049,0.074887601,ClassB
r305,0.915829773,0.780218272,0.073807986,0.021586046,ClassB
r306,0.89206705,0.80299954,0.079593155,0.087508802,ClassB
r307,0.926141515,0.800961535,0.07544936,0.061535128,ClassB
r308,0.909937349,0.798943708,0.058282209,0.021423542,ClassB
r309,0.913086748,0.779844974,0.133623937,0.099804994,ClassB
r310,0.91854232,0.799871908,0.058497471,0.085531661,ClassB
r311,0.911857467,0.811353345,0.051555269,0.099263312,ClassB
r312,0.91054691,0.804321217,0.068076633,0.080060668,ClassB
r313,0.906696516,0.802848203,0.074642127,0.107848979,ClassB
r314,0.910150696,0.796421424,0.064255731,0.092708954,ClassB
r315,0.914356667,0.788824305,0.049940803,0.079275229,ClassB
r316,0.895795532,0.811010314,0.066758153,0.037809436,ClassB
r317,0.896902901,0.806944392,0.075879884,0.103813445,ClassB
r318,0.899930388,0.795957324,0.034199763,0.110557391,ClassB
r319,0.894241151,0.808477941,0.094957486,0.059341314,ClassB
r320,0.914458261,0.809406141,0.055349263,0.053464059,ClassB
r321,0.918786144,0.797571585,0.057528791,0.11987433,ClassB
r322,0.892188962,0.795906878,0.100285222,0.072287525,ClassB
r323,0.897278797,0.807973484,0.058255301,0.094442338,ClassB
r324,0.929280754,0.807458938,0.070901948,0.051649423,ClassB
r325,0.922860044,0.801869557,0.054165321,0.104246791,ClassB
r326,0.900732977,0.799115223,0.048137983,0.096013217,ClassB
r327,0.885422834,0.806651807,0.079754601,0.086885868,ClassB
r328,0.906899703,0.810172916,0.075126466,0.054276583,ClassB
r329,0.90678795,0.792789335,0.088122915,0.081116949,ClassB
r330,0.907214643,0.805461289,0.075126466,0.093006879,ClassB
r331,0.925877372,0.790256962,0.085755032,0.083364931,ClassB
r332,0.916205669,0.810273807,0.063502314,0.12526407,ClassB
r333,0.914407464,0.79541251,0.077521257,0.143816695,ClassB
r334,0.90899253,0.81829467,0.052712302,0.064406045,ClassB
r335,0.895226608,0.783134033,0.079324077,0.071366665,ClassB
r336,0.90710289,0.824065655,0.079485524,0.092383945,ClassB
r337,0.905680581,0.804946743,0.094769131,0.121986891,ClassB
r338,0.89316426,0.788259313,0.055456894,0.049861871,ClassB
r339,0.907905479,0.795775719,0.069529652,0.09715075,ClassB
r340,0.907712451,0.789399386,0.068910774,0.116353394,ClassB
r341,0.914255074,0.808346782,0.064901518,0.138968637,ClassB
r342,0.902968034,0.804381752,0.07808632,0.077514761,ClassB
r343,0.922128571,0.804280861,0.104698095,0.027625806,ClassB
r344,0.903618233,0.80079002,0.065547304,0.060939277,ClassB
r345,0.903100106,0.791195252,0.084759445,0.101727967,ClassB
r346,0.907864842,0.78947001,0.088607254,0.086235849,ClassB
r347,0.931566609,0.779501944,0.079377893,0.074968853,ClassB
r348,0.924983349,0.807156264,0.048272522,0.063268512,ClassB
r349,0.911573005,0.79880246,0.072166613,0.082606576,ClassB
r350,0.895429795,0.818859661,0.072812399,0.065543578,ClassB
r351,0.918826782,0.793213079,0.079216446,0.050241049,ClassB
r352,0.911481571,0.803251769,0.10391777,0.072612535,ClassB
r353,0.890756494,0.799347273,0.083440964,0.101836304,ClassB
r354,0.911938742,0.80965837,0.092320525,0.116299225,ClassB
r355,0.912375594,0.800446989,0.10187278,0.070960403,ClassB
r356,0.917252082,0.804159791,0.097325369,0.087508802,ClassB
r357,0.921336142,0.804785317,0.08013131,0.067222794,ClassB
r358,0.902683572,0.807378225,0.080588742,0.080439846,ClassB
r359,0.937205049,0.793616644,0.054219137,0.10950111,ClassB
r360,0.930662426,0.802041072,0.039796577,0.091408916,ClassB
r361,0.894281789,0.793969764,0.118340329,0.088863009,ClassB
r362,0.912253681,0.785777386,0.059035626,0.067601972,ClassB
r363,0.895866648,0.80930525,0.07364654,0.067954065,ClassB
r364,0.910028783,0.806843501,0.032962006,0.112155355,ClassB
r365,0.908728386,0.800184672,0.102168765,0.070093711,ClassB
r552,0.595657812,0.184263128,0.806425573,0.821028113,ClassA
r597,0.726073407,0.001298976,0.706651598,0.754536591,ClassA
r480,0.580479741,0.191113651,0.579862232,0.584989979,ClassA
r559,0.535504292,0.205379688,0.774728232,0.744027951,ClassA
r562,0.623463957,0.163630846,0.788262835,0.726423271,ClassA
r484,0.574760026,0.197863283,0.709557636,0.768376578,ClassA
r472,0.592610006,0.189741528,0.774808955,0.636720654,ClassA
r553,0.588414194,0.198226491,0.679340222,0.766968203,ClassA
r500,0.570391505,0.184454821,0.73425896,0.606332268,ClassA
r591,0.569131745,0.190710085,0.804111506,0.820053085,ClassA
r507,0.59020224,0.196672765,0.766279195,0.80445263,ClassA
r543,0.531877403,0.23103636,0.934990851,0.823411516,ClassA
r492,0.574902257,0.210424256,0.78411904,0.92229565,ClassA
r526,0.59568829,0.180439346,0.678694435,0.881534045,ClassA
r512,0.582542089,0.218848684,0.660397159,0.804750555,ClassA
r558,0.60806238,0.204370775,0.569260575,0.982151563,ClassA
r549,0.559073987,0.207599298,0.835701216,0.771735009,ClassA
r573,0.60962692,0.216023726,0.677349047,0.96709279,ClassA
r501,0.597699842,0.193605667,0.772037456,0.848410162,ClassA
r463,0.598695458,0.190377144,0.689888064,0.723416933,ClassA
r488,0.573358035,0.204754162,0.615488107,0.830101295,ClassA
r548,0.583009419,0.223883163,0.736465397,0.770109962,ClassA
r589,0.583446271,0.193656113,0.80717899,0.696982829,ClassA
r561,0.590486702,0.193081032,0.687627812,0.991441417,ClassA
r505,0.587631924,0.185312398,0.882197826,0.774118412,ClassA
r647,0.198193505,0.293064365,0.760305672,0.908970262,ClassA
r563,0.575725164,0.213935275,0.689511355,0.850035209,ClassA
r565,0.583019579,0.217537097,0.849666344,0.771003738,ClassA
r461,0.579585718,0.24025783,0.806694651,0.779697741,ClassA
r746,0.663908335,0.174042834,0.699117425,0.670765397,ClassA
r468,0.601702626,0.19789355,0.728904316,0.788093819,ClassA
r566,0.623006786,0.202534552,0.636018728,0.783868696,ClassA
r518,0.587652243,0.216306222,0.856447099,0.736308976,ClassA
r467,0.614757393,0.201414658,0.790819072,0.858918802,ClassA
r576,0.61463548,0.22461967,0.869981703,0.674503006,ClassA
r520,0.617906792,0.204512023,0.625363255,0.844103786,ClassA
r483,0.609606601,0.229966912,0.786782908,0.851308163,ClassA
r705,0.210811419,0.019889923,0.745533312,0.822030226,ClassA
r486,0.571895089,0.191103562,0.800801851,0.76136179,ClassA
r525,0.593717376,0.212633777,0.707001399,0.785304155,ClassA
r449,0.592701441,0.201838402,0.648207943,0.876225557,ClassA
r508,0.587875749,0.24830896,0.689053923,0.899030388,ClassA
r574,0.605756207,0.224367441,0.78304273,0.863658523,ClassA
r513,0.598258606,0.2240345,0.698202562,0.691457668,ClassA
r517,0.609271343,0.203281148,0.708346787,0.803910947,ClassA
r458,0.585925153,0.227202489,0.650952535,0.722441905,ClassA
r499,0.602454418,0.204037833,0.716419115,0.702020476,ClassA
r554,0.602281709,0.180963981,0.824695942,0.62697037,ClassA
r529,0.617195637,0.183839384,0.782047142,0.845160067,ClassA
r452,0.590882917,0.214883654,0.649230438,0.832430529,ClassA
r550,0.610825724,0.214015988,0.934075988,0.6617193,ClassA
r502,0.59804526,0.231984739,0.910450974,0.66158388,ClassA
r522,0.648882654,0.184475,0.688354321,0.631872596,ClassA
r485,0.576751259,0.220483124,0.662953396,0.800525432,ClassA
r582,0.609017359,0.190942136,0.743246152,0.778424787,ClassA
r516,0.597547451,0.189751618,0.830723281,0.700124587,ClassA
r457,0.5817395,0.227384093,0.717737596,0.695520286,ClassA
r581,0.589145668,0.221804801,0.950758799,0.861193868,ClassA
r583,0.582399858,0.228544344,0.872511032,0.814365419,ClassA
r482,0.584452047,0.247522007,0.810757723,0.838957803,ClassA
r571,0.620781888,0.237079752,0.770342267,0.821623964,ClassA
r547,0.564021591,0.252939873,0.877784953,0.76320351,ClassA
r556,0.607534094,0.227949085,0.825503175,0.711418666,ClassA
r570,0.637158763,0.208991599,0.658056183,0.749228102,ClassA
r514,0.617033087,0.221794712,0.801743623,0.725339906,ClassA
r720,0.734444712,0.236615652,0.608411366,0.826309517,ClassA
r497,0.585407026,0.218606545,0.711306641,0.682790748,ClassA
r545,0.602982704,0.198983177,0.587396405,0.70822274,ClassA
r568,0.596826137,0.238492231,0.823942525,0.623070256,ClassA
r450,0.618008385,0.246967105,0.828463029,0.811196577,ClassA
r503,0.562700876,0.261172608,0.807878592,0.848762256,ClassA
r466,0.619613563,0.230198962,0.834974707,0.709901955,ClassA
r541,0.567384337,0.223530043,0.60259929,0.860489681,ClassA
r494,0.609555805,0.205652095,0.660370251,0.764936894,ClassA
r544,0.583740893,0.220684907,0.663922075,0.901278371,ClassA
r530,0.615641256,0.229533079,0.798783769,0.873273387,ClassA
r585,0.631743828,0.228342561,0.626224303,0.9165809,ClassA
r469,0.587987502,0.232115898,0.693735873,0.907697308,ClassA
r575,0.578752651,0.221280166,0.609998924,0.762174313,ClassA
r594,0.597242671,0.237523674,0.74771284,0.892557283,ClassA
r587,0.615438069,0.210081226,0.75672694,0.857916689,ClassA
r462,0.625353596,0.232701067,0.668496394,0.885732084,ClassA
r464,0.591990286,0.207720368,0.60138844,0.726694112,ClassA
r524,0.637849599,0.209223649,0.794586159,0.698255782,ClassA
r528,0.591959808,0.228957998,0.68765472,0.615053356,ClassA
r584,0.637595615,0.22391343,0.759767517,0.759005471,ClassA
r536,0.617276912,0.2317426,0.769131418,0.812659119,ClassA
r489,0.583588502,0.208174379,0.705575288,0.644683387,ClassA
r479,0.633816336,0.210232563,0.77714993,0.588781756,ClassA
r474,0.604506607,0.228826839,0.76261974,0.738881967,ClassA
r506,0.620466948,0.214853387,0.766413734,0.858106278,ClassA
r540,0.617337868,0.216084261,0.642422775,0.792454363,ClassA
r459,0.605512383,0.207195733,0.686147885,0.592275608,ClassA
r579,0.608163974,0.213319838,0.800667312,0.615811711,ClassA
r471,0.600646053,0.245695874,0.643176192,0.697957857,ClassA
r580,0.59568829,0.2535654,0.828785922,0.69988083,ClassA
r546,0.613944645,0.201818224,0.537213432,0.786035426,ClassA
r557,0.569040311,0.24982233,0.792272091,0.565624831,ClassA
r454,0.650589425,0.195421712,0.85908406,0.6651319,ClassA
r478,0.598482112,0.222611932,0.790657626,0.833080548,ClassA
r523,0.570361027,0.232529552,0.547922721,0.73075673,ClassA
r481,0.633765539,0.230955647,0.652970617,0.886030009,ClassA
r453,0.602169956,0.227152043,0.75492412,0.835545203,ClassA
r521,0.562284342,0.271433259,0.811430417,0.7451384,ClassA
r586,0.636071712,0.202433661,0.660908406,0.822192731,ClassA
r447,0.588200848,0.237079752,0.644225595,0.757136666,ClassA
r527,0.597740479,0.235253619,0.728366161,0.818075944,ClassA
r487,0.601621351,0.239359897,0.670487569,0.761118033,ClassA
r535,0.597110599,0.244091701,0.750349801,0.726883701,ClassA
r560,0.627283873,0.224952611,0.754278334,0.736958995,ClassA
r470,0.559236537,0.268598211,0.759094823,0.76352852,ClassA
r592,0.617835676,0.240590771,0.707485739,0.857618764,ClassA
r456,0.63031136,0.226062416,0.595361102,0.837116083,ClassA
r539,0.622986467,0.227626232,0.617775266,0.74638427,ClassA
r532,0.595647653,0.234385953,0.805134001,0.697470343,ClassA
r542,0.605644454,0.234668449,0.697610591,0.856481231,ClassA
r448,0.613487474,0.240762287,0.814336455,0.77029955,ClassA
r460,0.599386294,0.259306118,0.791707028,0.578218948,ClassA
r564,0.608184292,0.218364406,0.87097729,0.798467039,ClassA
r577,0.615204404,0.239188382,0.672774728,0.866691945,ClassA
r511,0.642512741,0.216629075,0.817054138,0.805021396,ClassA
r590,0.611120345,0.265309153,0.699924658,0.818400953,ClassA
r551,0.619105595,0.24235637,0.754520504,0.749959374,ClassA
r555,0.637839439,0.248369495,0.644952104,0.775445534,ClassA
r569,0.614127513,0.252990319,0.767839845,0.838443205,ClassA
r496,0.603450034,0.244676871,0.605612959,0.648691837,ClassA
r491,0.608560188,0.261717421,0.783096545,0.852310276,ClassA
r595,0.619461172,0.246936838,0.979953719,0.665646498,ClassA
r476,0.633409962,0.240843,0.778414595,0.778831049,ClassA
r531,0.590689889,0.27666952,0.843988806,0.831103407,ClassA
r572,0.6453472,0.274540712,0.926407276,0.859595905,ClassA
r578,0.622691846,0.229966912,0.921456248,0.867937815,ClassA
r455,0.601895654,0.237614476,0.773705737,0.603732192,ClassA
r519,0.594672355,0.259235494,0.653966204,0.686555441,ClassA
r473,0.643742022,0.233225702,0.761731783,0.806375603,ClassA
r533,0.633562352,0.240832911,0.810623184,0.837711933,ClassA
r510,0.642898796,0.239965245,0.918684749,0.721927306,ClassA
r588,0.600656213,0.259548257,0.714912281,0.794052327,ClassA
r495,0.631581279,0.238189557,0.756404047,0.74651969,ClassA
